Year;Capacity (MW);Net annual generation (GWh);% of gross electricity consumption;Capacity Factor (%)
1990;2;1;2,00E-04;05. Jul
1991;2;1;2,00E-04;05. Jul
1992;6;4;7,00E-04;07. Jun
1993;9;3;6,00E-04;03. Aug
1994;12;7;0.001;06. Jul
1995;18;7;0.001;04. Apr
1996;28;12;0.002;04. Sep
1997;42;18;0.003;04. Sep
1998;54;35;0.006;07. Apr
1999;70;30;0.005;04. Sep
2000;114;60;0.01;6.0
2001;176;76;0.013;04. Sep
2002;296;162;0.028;06. Feb
2003;435;313;0.052;08. Feb
2004;1105;557;0.091;05. Aug
2005;2056;1282;0.21;07. Jan
2006;2899;2220;0.36;08. Jul
2007;4170;3075;0.49;08. Apr
2008;6120;4420;0.72;08. Feb
2009;10566;6583;Jan 13;07. Jan
2010;18006;11729;01. Sep;07. Apr
2011;25916;19599;Mrz 23;08. Jun
2012;34077;26220;Apr 35;08. Aug
2013;36710;30020;Mai 13;09. Jun
2014;37900;34735;06. Aug;10. Sep
2015;39224;37330;06. Mai;11. Mrz
2016;40679;36820;06. Apr;10. Jul
2017;42293;38001;06. Jun;10. Jun
2018;45158;43451;07. Jul;11. Jun
2019;48864;44334;08. Feb;11. Jan
2020;54403;48525;08. Sep;10. Jan
2021;60108;48373;08. Jul;09. Jan
2022;67399;59596;11. Jan;10. Jan
