Year;Onshore wind power;Offshore wind power;Solar power
1990;72;0;1
1991;102;0;1
1992;281;0;4
1993;612;0;3
1994;927;0;7
1995;1530;0;7
1996;2073;0;12
1997;3025;0;18
1998;4579;0;35
1999;5639;0;30
2000;9703;0;60
2001;10719;0;76
2002;16102;0;162
2003;19087;0;313
2004;26019;0;557
2005;27774;0;1282
2006;31324;0;2220
2007;40507;0;3075
2008;41385;0;4420
2009;39382;38;6583
2010;38371;176;11729
2011;49280;577;19599
2012;50948;732;26220
2013;51819;918;30020
2014;57026;1471;34735
2015;72340;8284;37330
2016;67650;12274;36820
2017;88018;17947;38001
2018;90484;19467;43451
2019;101150;24744;44334
2020;104796;27306;48525
2021;90272;24375;48373
2022;100164;25123;59596
